date,temp_max,temp_min,rain,humidity,radiation,soil_0_7,soil_7_28
1990-01-01,29.0,16.9,0.0,69,18.85,0.1995416666666667,0.298
1990-01-02,28.9,17.7,0.0,70,20.45,0.19899999999999998,0.2974583333333333
1990-01-03,27.2,18.4,0.0,73,15.13,0.19899999999999998,0.29662499999999997
1990-01-04,27.5,18.4,0.0,70,17.46,0.19899999999999998,0.296
1990-01-05,27.3,17.5,0.0,70,19.39,0.19899999999999998,0.29554166666666665
1990-01-06,27.4,16.6,0.0,71,20.36,0.1985416666666667,0.295
1990-01-07,25.8,17.7,0.4,74,12.23,0.2005416666666667,0.2944583333333333
1990-01-08,26.6,18.2,0.0,74,14.13,0.20162500000000003,0.294
1990-01-09,29.7,18.8,0.0,72,17.06,0.20083333333333334,0.29354166666666665
1990-01-10,29.6,18.8,0.0,71,18.5,0.19995833333333335,0.293
1990-01-11,29.2,18.7,0.0,72,18.61,0.199125,0.2925
1990-01-12,28.3,19.5,0.0,73,15.52,0.19879166666666667,0.292
1990-01-13,29.2,19.5,0.0,71,19.3,0.19862500000000002,0.2915833333333333
1990-01-14,28.6,19.6,0.0,75,15.21,0.199375,0.291
1990-01-15,31.0,18.9,0.0,68,21.06,0.1995,0.2905833333333333
1990-01-16,29.1,17.9,0.0,70,20.01,0.1985416666666667,0.29
1990-01-17,28.8,18.7,0.0,73,16.97,0.19800000000000004,0.29
1990-01-18,30.5,18.5,0.0,68,21.51,0.19758333333333333,0.28941666666666666
1990-01-19,31.4,18.1,0.0,63,21.84,0.19708333333333336,0.289
1990-01-20,26.7,18.6,0.0,75,15.0,0.1975,0.288375
1990-01-21,27.5,17.9,0.0,70,16.66,0.19808333333333336,0.288
1990-01-22,28.1,18.7,0.0,70,18.06,0.19800000000000004,0.288
1990-01-23,26.1,18.4,0.0,73,15.6,0.19800000000000004,0.2875
1990-01-24,24.2,17.2,0.1,71,11.62,0.20008333333333336,0.287
1990-01-25,26.1,16.0,0.0,72,16.83,0.2005416666666667,0.287
1990-01-26,25.8,17.6,0.0,71,15.26,0.20000000000000004,0.287
1990-01-27,25.3,17.7,0.1,72,14.03,0.20162500000000003,0.2867083333333333
1990-01-28,27.9,16.4,0.0,67,21.73,0.2015416666666667,0.28624999999999995
1990-01-29,28.9,15.7,0.0,61,23.01,0.19995833333333335,0.286
1990-01-30,30.4,15.9,0.0,59,22.47,0.1985416666666667,0.2856666666666667
1990-01-31,30.2,17.1,0.0,59,23.18,0.1975416666666667,0.285
1990-02-01,26.0,17.0,0.0,72,15.47,0.19770833333333335,0.285
1990-02-02,28.3,17.5,0.0,71,20.97,0.19800000000000004,0.285
1990-02-03,29.3,16.7,0.0,67,22.18,0.1975,0.28462499999999996
1990-02-04,26.4,17.8,0.0,70,14.5,0.19745833333333332,0.284
1990-02-05,26.5,17.8,0.0,74,14.95,0.19845833333333332,0.284
1990-02-06,26.2,19.3,0.3,74,14.12,0.2015,0.284
1990-02-07,27.4,18.9,0.5,74,17.49,0.205125,0.284
1990-02-08,29.1,18.2,0.0,71,20.94,0.2040833333333333,0.284
1990-02-09,27.2,19.0,0.1,73,15.38,0.20299999999999999,0.2835833333333333
1990-02-10,30.2,18.1,0.0,70,20.56,0.20195833333333335,0.283
1990-02-11,27.6,19.7,0.1,75,16.7,0.20208333333333336,0.283
1990-02-12,29.6,19.1,0.0,70,20.76,0.20204166666666667,0.283
1990-02-13,30.3,17.8,0.0,67,23.8,0.20008333333333336,0.283
1990-02-14,32.2,17.1,0.0,62,24.09,0.1985416666666667,0.2825833333333333
1990-02-15,32.3,17.7,0.0,60,23.99,0.1975416666666667,0.282
1990-02-16,32.1,18.5,0.0,61,22.67,0.19699999999999998,0.282
1990-02-17,31.7,20.0,0.0,62,20.15,0.19704166666666667,0.282
1990-02-18,32.4,22.0,0.2,60,21.67,0.19883333333333333,0.282
1990-02-19,32.7,20.1,0.0,62,22.49,0.19804166666666667,0.28154166666666663
1990-02-20,32.5,20.6,0.0,60,23.41,0.19699999999999998,0.281
1990-02-21,33.5,20.2,0.0,56,24.56,0.1965416666666667,0.281
1990-02-22,33.2,19.7,0.0,56,22.26,0.19600000000000004,0.281
1990-02-23,31.7,23.3,0.1,60,18.33,0.19929166666666667,0.281
1990-02-24,31.7,19.7,0.0,63,23.56,0.202375,0.281
1990-02-25,30.9,19.7,0.0,68,23.08,0.19970833333333335,0.2806666666666667
1990-02-26,30.7,20.4,0.0,69,18.34,0.19845833333333332,0.28
1990-02-27,31.6,19.8,0.0,62,22.38,0.1975,0.28
1990-02-28,31.2,19.8,0.0,62,21.59,0.19699999999999998,0.28
1990-03-01,31.6,19.7,0.1,67,22.43,0.19695833333333335,0.28
1990-03-02,31.4,20.2,0.3,69,19.5,0.19804166666666667,0.28
1990-03-03,31.6,19.2,0.3,68,22.59,0.19979166666666667,0.28
1990-03-04,31.9,20.1,0.0,66,23.05,0.19908333333333336,0.28
1990-03-05,32.0,19.1,0.0,64,25.61,0.19758333333333333,0.28
1990-03-06,31.2,19.1,0.0,67,24.14,0.19699999999999998,0.28
1990-03-07,29.7,20.4,0.2,71,18.24,0.19804166666666667,0.2794166666666667
1990-03-08,28.7,20.3,0.4,73,16.53,0.20129166666666667,0.279
1990-03-09,27.9,20.4,0.0,72,16.01,0.2031666666666667,0.279
1990-03-10,30.2,19.7,0.0,68,21.1,0.20279166666666668,0.279
1990-03-11,31.1,20.1,0.5,71,18.68,0.20441666666666666,0.279
1990-03-12,31.5,20.4,0.0,69,23.35,0.20675,0.279
1990-03-13,31.5,18.9,0.0,67,25.28,0.20266666666666666,0.279
1990-03-14,31.9,20.0,0.0,67,23.19,0.20008333333333336,0.279
1990-03-15,31.8,20.6,0.0,66,23.53,0.1985416666666667,0.279
1990-03-16,30.5,19.9,0.0,68,21.76,0.19762500000000002,0.279
1990-03-17,30.9,19.1,0.0,65,25.48,0.19716666666666668,0.279
1990-03-18,29.9,20.0,0.0,66,20.51,0.19729166666666667,0.279
1990-03-19,30.4,19.5,0.0,66,21.46,0.19733333333333336,0.279
1990-03-20,30.9,18.5,0.0,65,22.01,0.19699999999999998,0.279
1990-03-21,32.0,19.8,0.0,63,22.5,0.1965416666666667,0.279
1990-03-22,31.7,20.8,0.0,61,21.63,0.19670833333333335,0.279
1990-03-23,32.1,22.1,1.9,66,20.8,0.2015,0.27845833333333336
1990-03-24,32.6,21.4,0.3,66,21.28,0.211125,0.278
1990-03-25,32.9,22.5,6.7,69,19.14,0.22570833333333332,0.278
1990-03-26,32.4,23.1,0.0,66,21.02,0.255125,0.278
1990-03-27,33.3,20.5,0.0,64,24.95,0.238375,0.278
1990-03-28,33.1,21.3,0.0,61,25.06,0.22366666666666668,0.278
1990-03-29,34.6,20.4,0.0,59,27.11,0.21308333333333332,0.278
1990-03-30,34.1,20.5,0.0,57,25.27,0.2060833333333333,0.278
1990-03-31,34.2,23.6,0.0,55,23.09,0.20266666666666666,0.278
1990-04-01,32.8,24.1,0.2,57,20.82,0.20175,0.278
1990-04-02,34.0,24.2,4.3,62,20.69,0.21808333333333332,0.278
1990-04-03,33.5,22.6,1.0,65,22.31,0.24641666666666664,0.278
1990-04-04,34.9,21.7,0.0,62,26.38,0.23416666666666666,0.278
1990-04-05,30.9,20.7,0.0,65,25.32,0.22012500000000002,0.278
1990-04-06,30.1,20.3,0.0,67,19.75,0.213125,0.278
1990-04-07,32.3,21.3,0.8,68,20.84,0.211,0.278
1990-04-08,31.5,21.5,0.4,66,19.19,0.21129166666666666,0.278
1990-04-09,33.5,20.7,0.0,58,23.79,0.20741666666666667,0.278
1990-04-10,33.0,21.5,0.0,60,22.93,0.20325000000000001,0.278
1990-04-11,32.7,24.1,7.7,68,18.71,0.23404166666666668,0.278
1990-04-12,31.5,23.0,14.7,76,18.16,0.32204166666666667,0.27825000000000005
1990-04-13,24.2,21.3,22.5,93,3.9,0.467,0.3247083333333333
1990-04-14,30.0,20.0,0.2,82,21.44,0.42849999999999994,0.3521666666666667
1990-04-15,30.1,21.8,1.6,77,21.95,0.3967083333333334,0.35191666666666666
1990-04-16,30.5,22.1,3.2,77,20.42,0.3875416666666667,0.34991666666666665
1990-04-17,31.7,23.5,2.8,76,22.52,0.3785833333333333,0.3475
1990-04-18,32.0,23.2,0.0,72,22.65,0.361875,0.34450000000000003
1990-04-19,32.3,23.0,5.2,75,22.31,0.350125,0.34087500000000004
1990-04-20,30.7,22.5,3.1,79,20.76,0.3705833333333333,0.33804166666666674
1990-04-21,30.1,22.1,4.5,80,20.17,0.3901666666666667,0.33745833333333336
1990-04-22,31.2,22.4,0.3,72,24.15,0.3795,0.3365416666666667
1990-04-23,31.7,23.0,2.3,73,23.15,0.3515833333333333,0.3336666666666667
1990-04-24,31.5,22.9,1.4,76,21.63,0.33979166666666666,0.3307083333333333
1990-04-25,30.7,22.0,0.3,75,23.06,0.33083333333333337,0.328125
1990-04-26,30.0,21.3,1.1,77,23.68,0.30866666666666664,0.325375
1990-04-27,29.4,22.1,0.6,76,20.66,0.2955,0.322625
1990-04-28,30.1,22.0,0.0,75,21.19,0.28025,0.32004166666666667
1990-04-29,30.7,21.6,0.7,74,22.32,0.26575,0.31754166666666667
1990-04-30,31.4,21.7,0.0,72,24.39,0.251125,0.314875
1990-05-01,31.8,20.7,0.0,71,23.82,0.23629166666666668,0.312
1990-05-02,33.3,21.0,0.0,65,25.81,0.22470833333333332,0.3093333333333333
1990-05-03,34.4,21.5,0.0,62,26.55,0.21454166666666666,0.30633333333333335
1990-05-04,33.8,23.4,0.0,57,24.51,0.20766666666666667,0.30354166666666665
1990-05-05,31.6,21.9,0.1,67,22.02,0.20466666666666666,0.30124999999999996
1990-05-06,32.9,21.8,0.4,66,25.3,0.20433333333333334,0.2995
1990-05-07,33.1,22.0,0.5,69,22.26,0.20737499999999998,0.2977083333333333
1990-05-08,33.3,22.8,0.3,66,22.23,0.2145,0.29633333333333334
1990-05-09,32.8,23.2,13.5,74,19.3,0.2754166666666667,0.294875
1990-05-10,29.1,22.0,8.3,80,13.41,0.44166666666666665,0.30754166666666666
1990-05-11,30.6,23.2,2.5,79,18.99,0.41920833333333335,0.31683333333333336
1990-05-12,31.5,22.1,1.3,75,22.13,0.3995416666666667,0.3197083333333333
1990-05-13,30.1,22.7,0.6,77,21.25,0.3774166666666667,0.31954166666666667
1990-05-14,30.7,21.8,11.8,79,17.4,0.39562499999999995,0.31995833333333334
1990-05-15,30.2,21.6,0.1,76,22.23,0.41733333333333333,0.3290416666666667
1990-05-16,30.5,22.1,18.0,80,19.03,0.4114583333333333,0.3345416666666667
1990-05-17,29.3,22.3,6.2,81,15.61,0.45658333333333334,0.36795833333333333
1990-05-18,29.4,22.9,5.7,82,14.75,0.4495,0.37704166666666666
1990-05-19,30.5,22.8,5.5,81,20.71,0.4451666666666667,0.3815
1990-05-20,29.7,21.8,5.9,85,18.6,0.4564166666666667,0.3880416666666667
1990-05-21,29.3,22.4,2.1,81,18.1,0.4446666666666667,0.395125
1990-05-22,30.2,22.6,31.7,83,19.55,0.44495833333333334,0.40820833333333334
1990-05-23,28.1,21.3,24.8,89,13.24,0.482625,0.4739166666666667
1990-05-24,26.2,22.1,8.6,90,7.41,0.4774583333333333,0.480375
1990-05-25,26.8,21.7,16.4,89,11.45,0.4972916666666667,0.487625
1990-05-26,25.2,21.5,16.9,90,7.28,0.474,0.48412499999999997
1990-05-27,27.3,21.2,2.8,84,15.27,0.4852916666666667,0.47512499999999996
1990-05-28,27.8,22.7,8.9,81,17.47,0.46537500000000004,0.47741666666666666
1990-05-29,29.1,23.1,0.5,78,20.35,0.44495833333333334,0.4714583333333333
1990-05-30,29.6,23.1,6.8,79,20.57,0.4487083333333333,0.4567916666666667
1990-05-31,29.3,23.1,0.6,78,20.93,0.4584166666666667,0.452625
1990-06-01,29.6,23.2,1.0,79,18.95,0.43212500000000004,0.44404166666666667
1990-06-02,28.3,23.3,7.2,82,17.08,0.44237499999999996,0.43729166666666663
1990-06-03,27.8,23.0,2.8,82,15.16,0.4655,0.441
1990-06-04,27.8,21.9,9.2,86,15.02,0.46337500000000004,0.4447916666666667
1990-06-05,28.1,21.1,6.8,86,17.54,0.46875,0.45525
1990-06-06,29.6,21.5,6.1,86,17.27,0.48300000000000004,0.45883333333333337
1990-06-07,29.6,21.7,11.8,85,19.72,0.4835833333333333,0.46866666666666673
1990-06-08,29.2,20.4,3.6,84,20.79,0.4815416666666667,0.4756666666666667
1990-06-09,29.2,22.4,9.1,86,17.22,0.4766666666666666,0.48170833333333335
1990-06-10,28.8,22.3,8.0,85,18.83,0.478625,0.48170833333333335
1990-06-11,25.9,21.9,13.2,88,10.98,0.4875416666666667,0.4885
1990-06-12,27.0,22.0,3.5,86,13.47,0.49366666666666664,0.48900000000000005
1990-06-13,24.6,21.2,31.3,92,7.74,0.47974999999999995,0.4955833333333333
1990-06-14,23.5,21.5,21.1,94,4.61,0.48712500000000003,0.49225
1990-06-15,22.0,21.0,162.4,96,1.9,0.484875,0.501875
1990-06-16,22.1,20.9,139.5,94,2.1,0.488,0.4947083333333333
1990-06-17,26.8,21.6,7.6,85,12.91,0.47475,0.48204166666666665
1990-06-18,27.9,22.4,0.4,78,21.33,0.45125,0.468875
1990-06-19,27.7,22.6,1.2,81,16.72,0.43825000000000003,0.458625
1990-06-20,24.1,21.8,7.8,92,6.0,0.48733333333333334,0.46304166666666663
1990-06-21,24.9,21.6,15.2,92,10.22,0.48700000000000004,0.47904166666666664
1990-06-22,26.1,21.8,12.2,91,10.15,0.48504166666666665,0.488875
1990-06-23,28.0,21.9,2.2,85,18.32,0.4859166666666666,0.4867916666666667
1990-06-24,28.5,22.4,1.5,84,17.56,0.47962499999999997,0.4797916666666666
1990-06-25,27.9,22.9,3.8,85,15.43,0.48420833333333335,0.4770833333333333
1990-06-26,27.6,22.6,5.0,85,16.37,0.48583333333333334,0.47912499999999997
1990-06-27,27.6,22.2,5.7,85,16.58,0.48966666666666664,0.480625
1990-06-28,27.4,21.5,0.6,82,16.44,0.4771666666666667,0.482375
1990-06-29,28.6,22.0,0.5,79,23.14,0.45787500000000003,0.47383333333333333
1990-06-30,28.1,21.9,0.5,78,21.43,0.4407083333333333,0.4637083333333334
1990-07-01,28.2,22.4,4.4,80,20.34,0.438375,0.45504166666666673
1990-07-02,28.1,22.1,1.3,81,19.33,0.441625,0.4500416666666667
1990-07-03,27.4,21.3,1.0,82,18.64,0.43375,0.4454166666666666
1990-07-04,28.4,21.9,8.4,85,18.84,0.4486666666666667,0.44320833333333337
1990-07-05,28.6,21.5,11.3,85,19.23,0.46870833333333334,0.4620416666666667
1990-07-06,28.2,20.8,5.6,86,19.44,0.47537500000000005,0.48166666666666663
1990-07-07,28.1,19.6,1.0,84,20.49,0.47541666666666665,0.47962499999999997
1990-07-08,28.6,21.2,3.1,81,19.6,0.4714583333333333,0.474625
1990-07-09,28.2,22.2,3.4,82,19.2,0.4679583333333333,0.469875
1990-07-10,28.9,22.3,1.1,80,19.73,0.46491666666666664,0.46645833333333336
1990-07-11,28.8,22.6,1.7,81,20.15,0.452375,0.46141666666666664
1990-07-12,28.1,22.2,7.6,82,18.79,0.4613333333333333,0.45729166666666665
1990-07-13,27.6,21.6,12.5,85,17.53,0.4719166666666667,0.47075
1990-07-14,28.2,21.3,6.1,83,18.4,0.4765416666666667,0.48733333333333334
1990-07-15,27.0,21.3,4.8,84,16.57,0.48574999999999996,0.4865833333333333
1990-07-16,27.5,21.2,5.7,86,17.56,0.49654166666666666,0.4882916666666666
1990-07-17,26.9,20.0,5.3,87,14.3,0.492125,0.4930833333333333
1990-07-18,27.9,20.9,3.3,83,19.9,0.48662500000000003,0.49066666666666664
1990-07-19,27.7,21.2,7.7,85,17.81,0.4779166666666667,0.49304166666666666
1990-07-20,25.2,21.3,17.1,90,11.83,0.47245833333333337,0.49420833333333336
1990-07-21,25.7,20.6,17.9,91,11.5,0.47208333333333335,0.490125
1990-07-22,23.5,20.4,16.1,91,7.5,0.49,0.49537499999999995
1990-07-23,26.9,21.0,1.8,82,18.71,0.4851666666666667,0.48933333333333334
1990-07-24,28.2,20.8,0.1,78,21.63,0.4640416666666667,0.47812499999999997
1990-07-25,27.9,21.6,1.6,80,18.84,0.45008333333333334,0.467125
1990-07-26,28.5,22.5,2.2,81,18.58,0.44487499999999996,0.45929166666666665
1990-07-27,27.4,22.8,5.8,84,16.38,0.4535833333333333,0.45437500000000003
1990-07-28,28.1,22.4,5.8,83,18.11,0.470375,0.4547083333333333
1990-07-29,26.9,22.3,9.2,86,16.57,0.4779583333333333,0.46095833333333336
1990-07-30,27.1,22.5,5.3,85,12.3,0.48362499999999997,0.47654166666666664
